,country,CPI 2015 Score,lu,lpc,lsc,lhc,yr_sch,"Adolescent fertility rate (births per 1,000 women ages 15-19)","Employers, female (% of female employment)",Law prohibits discr employ b gender,"Labor force, female (% of total labor force)",The law prohibits disc access credit b gender,The government administers of maternity leave benefits,There is paid parental leave,legislation addressing domestic violence,Score(%)_hs,Score(%)_d,Score(%)_v,Value,First Tooltip,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption
55,Liberia,37,39.79,22.13,13.05,1.88,4.703,137.194,1.00999999046326,0,47.0734818991064,0,0,0,0,45,78,46,35.71,6.5,2015,2.7015912532806396,7.365483283996582,0.6376659870147705,53.70000076293945,0.6714308857917786,-0.06149032339453697,0.9026726484298706
56,Lithuania,59,0.05,2.95,50.96,21.29,11.756,11.8836,1.33000004291534,1,50.4729256364737,1,1,1,1,17,33,8,41.43,34.9,2015,5.71137809753418,10.335315704345703,0.9285235404968262,65.5,0.641470193862915,-0.25363197922706604,0.9241740703582764
57,Luxembourg,85,0.65,10.76,30.04,20.8,11.963,5.3978,2.29999995231628,1,45.1398983522022,1,1,1,1,43,38,34,48.57,14.7,2015,6.701571464538574,11.616852760314941,0.9336045980453491,72.5999984741211,0.9322564005851746,0.052099939435720444,0.3753904700279236
58,Malawi,31,11.81,18.84,9.09,0.23,5.359,137.2998,0.759999990463257,1,48.4851324944406,0,0,0,1,42,73,33,42.86,3.6,2015,3.867638349533081,6.9346208572387695,0.4943816363811493,55.5,0.8013907074928284,0.05806805565953255,0.8348253965377808
59,Malaysia,50,2.72,9.8,44.22,10.71,11.367,13.308,1.71000003814697,0,37.9853068495859,0,0,0,1,52,62,37,42.86,5.4,2015,6.3221211433410645,10.118295669555664,0.8176162838935852,66.4000015258789,0.6745944619178772,0.2223144769668579,0.8378922343254089
60,Mali,35,64.23,7.45,5.95,1.63,2.783,173.0382,0.129999995231628,0,43.751550322219,0,1,0,0,22,48,5,41.43,4.8,2015,4.582098484039307,7.668847560882568,0.8301891684532166,50.20000076293945,0.6337535381317139,-0.06758229434490204,0.8000467419624329
61,Malta,60,2.43,8.43,26.5,15.99,11.816,13.0422,1.87000000476837,1,38.8493769058996,1,0,0,1,51,50,26,28.57,8.0,2015,6.613394260406494,10.565675735473633,0.9187648892402649,72.19999694824219,0.9121780395507812,0.34702906012535095,0.663886308670044
62,Mauritania,31,23.32,40.68,9.17,1.4,5.205,74.2362,0.759999990463257,1,30.891205793218,0,1,0,0,24,33,22,35.71,4.3,2015,3.922664165496826,8.54236125946045,0.8749459385871887,56.099998474121094,0.4470865726470947,0.05547939985990524,0.7153584361076355
63,Mexico,31,10.9,9.57,21.57,13.89,9.143,62.607,2.29999995231628,1,37.4797332378036,1,1,0,1,29,44,18,54.29,5.6,2015,6.2362871170043945,9.8672513961792,0.760614275932312,67.4000015258789,0.719465970993042,-0.15175363421440125,0.7079719305038452
64,Mongolia,39,3.61,4.66,47.98,23.07,9.868,29.2282,0.870000004768372,1,45.469943359724,1,1,0,0,39,39,34,45.71,13.1,2015,4.982719898223877,9.307735443115234,0.9055243730545044,61.70000076293945,0.6855107545852661,0.1730996072292328,0.9002181887626648
